Component ID,Inspection Timestamp,Defect Count,Total Defect Area (px),Largest Defect Area (px),Defect Percentage (%),Quality Status
VERIFY-999,2026-09-05 11:36:21,2,840.0,666.0,1.28,FAIL
VERIFY-999,2026-09-05 16:06:11,2,840.0,666.0,1.28,FAIL
COMP-TEST-100,2026-09-05 19:09:50,5,350.0,120.0,1.8,WARNING
COMP-3D-ELEX-901,2026-09-05 19:10:07,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 19:10:12,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 19:36:47,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 19:39:50,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 20:10:15,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 20:10:51,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 20:11:13,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 20:11:20,101,12603.5,2492.5,19.23,FAIL
COMP-3D-ELEX-901,2026-09-05 20:11:41,101,12603.5,2492.5,19.23,FAIL
COMP-3D-ELEX-902,2026-09-05 20:11:47,101,12603.5,2492.5,19.23,FAIL
COMP-3D-ELEX-902,2026-09-05 20:12:03,101,12603.5,2492.5,19.23,FAIL
COMP-3D-ELEX-902,2026-09-05 20:12:16,159,9548.5,2949.0,14.57,FAIL
COMP-3D-ELEX-902,2026-09-05 20:12:25,159,9548.5,2949.0,14.57,FAIL
