Component ID,Inspection Timestamp,Defect Count,Total Defect Area (px),Largest Defect Area (px),Defect Percentage (%),Quality Status
COMP-3D-ELEX-901,2026-09-05 18:19:41,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 18:20:15,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 18:20:18,137,6355.0,2031.0,9.7,FAIL
COMP-3D-ELEX-901,2026-09-05 18:21:10,158,7034.5,2082.0,10.73,FAIL
COMP-3D-ELEX-901,2026-09-05 19:01:22,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 19:01:29,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 19:01:40,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 19:02:01,108,7213.0,2254.0,11.01,FAIL
COMP-3D-ELEX-901,2026-09-05 19:02:17,121,6938.5,1840.0,10.59,FAIL
COMP-3D-ELEX-901,2026-09-05 19:02:25,137,6355.0,2031.0,9.7,FAIL
COMP-3D-ELEX-901,2026-09-05 19:02:31,159,8835.5,2760.0,13.48,FAIL
COMP-3D-ELEX-901,2026-09-05 19:02:38,102,10947.5,1610.0,16.7,FAIL
COMP-3D-ELEX-901,2026-09-05 19:02:42,94,14001.0,5652.5,21.36,FAIL
COMP-3D-ELEX-901,2026-09-05 19:07:37,102,11610.0,2262.0,17.72,FAIL
COMP-3D-ELEX-901,2026-09-05 19:07:46,88,6882.5,1168.0,10.5,FAIL
COMP-3D-ELEX-901,2026-09-05 19:07:57,88,6882.5,1168.0,10.5,FAIL
COMP-3D-ELEX-901,2026-09-05 19:08:02,76,3010.0,747.5,4.59,FAIL
